=== LSP Grids ===
Grid,Lookahead,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
13x13,2,XIDA,1879,6398,76597,310602,,
13x13,2,BiXIDA,2751,6160,53636,126732,,
13x13,3,A*,,,,,,
13x13,3,XMM,,,,,,
13x13,3,XDFBnB,,,,,,
13x13,3,BiXDFBnB,,,,,,
13x13,3,XIDA,1197,6167,49994,303799,,
13x13,3,BiXIDA,2035,17893,29842,294299,,
13x13,4,A*,,,,,,
13x13,4,XMM,,,,,,
13x13,4,XDFBnB,,,,,,
13x13,4,BiXDFBnB,,,,,,
13x13,4,XIDA,870,5555,38227,356671,,
13x13,4,BiXIDA,1326,5251,27167,144285,,

=== CIB ===
Dimension,Lookahead,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,1,A*,,,,
4,1,XMM,,,,
4,1,XDFBnB,,,,
4,1,BiXDFBnB,,,,
4,1,XIDA,4,4,4,4
4,1,BiXIDA,3,4,3,5
4,2,A*,,,,
4,2,XMM,,,,
4,2,XDFBnB,,,,
4,2,BiXDFBnB,,,,
4,2,XIDA,2,3,6,5
4,2,BiXIDA,2,3,2,3
4,3,A*,,,,
4,3,XMM,,,,
4,3,XDFBnB,,,,
4,3,BiXDFBnB,,,,
4,3,XIDA,1,2,3,4
4,3,BiXIDA,1,2,1,3
4,4,A*,,,,
4,4,XMM,,,,
4,4,XDFBnB,,,,
4,4,BiXDFBnB,,,,
4,4,XIDA,1,2,2,4
4,4,BiXIDA,1,2,1,2
5,1,A*,,,,
5,1,XMM,,,,
5,1,XDFBnB,,,,
5,1,BiXDFBnB,,,,
5,1,XIDA,53,92,53,92
5,1,BiXIDA,74,199,74,199
5,2,A*,,,,
5,2,XMM,,,,
5,2,XDFBnB,,,,
5,2,BiXDFBnB,,,,
5,2,XIDA,15,59,34,98
5,2,BiXIDA,26,69,26,69
5,3,A*,,,,
5,3,XMM,,,,
5,3,XDFBnB,,,,
5,3,BiXDFBnB,,,,
5,3,XIDA,10,79,18,115
5,3,BiXIDA,16,107,24,152
5,4,A*,,,,
5,4,XMM,,,,
5,4,XDFBnB,,,,
5,4,BiXDFBnB,,,,
5,4,XIDA,6,111,28,142
5,4,BiXIDA,7,66,34,115
6,1,A*,,,,
6,1,XMM,,,,
6,1,XDFBnB,,,,
6,1,BiXDFBnB,,,,
6,1,XIDA,12689,70750,12689,70752
6,1,BiXIDA,21332,216831,21332,216834
6,2,A*,,,,
6,2,XMM,,,,
6,2,XDFBnB,,,,
6,2,BiXDFBnB,,,,
6,2,XIDA,7203,99361,7203,99363
6,2,BiXIDA,7720,70369,7720,70370
6,3,A*,,,,
6,3,XMM,,,,
6,3,XDFBnB,,,,
6,3,BiXDFBnB,,,,
6,3,XIDA,4522,143717,4522,143721
6,3,BiXIDA,6048,243966,6048,243970
6,4,A*,,,,
6,4,XMM,,,,
6,4,XDFBnB,,,,
6,4,BiXDFBnB,,,,
6,4,XIDA,3735,248591,3735,248598
6,4,BiXIDA,4015,148871,4015,148873
7,1,A*,,,,
7,1,XMM,,,,
7,1,XDFBnB,,,,
7,1,BiXDFBnB,,,,
7,1,XIDA,,,,
7,1,BiXIDA,,,,
7,2,A*,,,,
7,2,XMM,,,,
7,2,XDFBnB,,,,
7,2,BiXDFBnB,,,,
7,2,XIDA,,,,
7,2,BiXIDA,,,,
7,3,A*,,,,
7,3,XMM,,,,
7,3,XDFBnB,,,,
7,3,BiXDFBnB,,,,
7,3,XIDA,,,,
7,3,BiXIDA,,,,
7,4,A*,,,,
7,4,XMM,,,,
7,4,XDFBnB,,,,
7,4,BiXDFBnB,,,,
7,4,XIDA,,,,
7,4,BiXIDA,,,,
