=== LSP Grids ===
Grid,Lookahead,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x9,1,A*,,,,,,,,,,
7x9,1,XMM,,,,,,,,,,
7x9,1,XDFBnB,,,,,,,,,,
7x9,1,BiXDFBnB,,,,,,,,,,
7x9,1,XIDA,723,2754,2151,7990,3402,14723,3565,15713,,
7x9,1,BiXIDA,1522,10816,7600,39654,8880,70017,8984,77192,,
7x9,2,A*,,,,,,,,,,
7x9,2,XMM,,,,,,,,,,
7x9,2,XDFBnB,,,,,,,,,,
7x9,2,BiXDFBnB,,,,,,,,,,
7x9,2,XIDA,348,2170,1066,6596,1693,13155,1654,12006,,
7x9,2,BiXIDA,458,2338,1004,4829,2730,16565,2275,13882,,
7x9,3,A*,,,,,,,,,,
7x9,3,XMM,,,,,,,,,,
7x9,3,XDFBnB,,,,,,,,,,
7x9,3,BiXDFBnB,,,,,,,,,,
7x9,3,XIDA,247,2603,755,6958,1205,16654,1102,15266,,
7x9,3,BiXIDA,385,6909,850,14215,2156,47652,2027,48520,,
7x9,4,A*,,,,,,,,,,
7x9,4,XMM,,,,,,,,,,
7x9,4,XDFBnB,,,,,,,,,,
7x9,4,BiXDFBnB,,,,,,,,,,
