--- LSP Grids ---,,,,,,,,,,
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
,XDFBnB,3,152,"1,060",467,"2,349",664,"7,192",754,"8,485"
,XDFBnB,4,115,"1,098",324,"2,477",574,"10,100",531,"9,565"
,BiXDFBnB,-1,484,"1,547","1,147","3,802","2,777","10,661","4,112","14,669"
,BiXDFBnB,1,"1,176","5,623","6,372","19,088","5,666","36,988","8,164","52,614"
,BiXDFBnB,2,293,"1,151",850,"2,374","1,960","8,532","2,044","10,048"
,BiXDFBnB,3,221,"2,984",537,"5,015","1,389","22,578","1,716","30,040"
,BiXDFBnB,4,139,"1,212",333,"2,147",948,"10,906","1,045","12,277"
,XIDA*,-1,723,"2,690","2,151","8,122","3,402","14,990","3,565","15,808"
,XIDA*,1,723,"2,675","2,151","7,986","3,402","14,850","3,565","15,724"
,XIDA*,2,348,"2,145","1,066","6,589","1,693","12,912","1,654","13,043"
,XIDA*,3,247,"2,579",755,"7,018","1,205","16,347","1,102","14,833"
,XIDA*,4,176,"2,755",561,"9,703",906,"21,328",839,"19,492"
,BiXIDA*,-1,846,"3,170","1,908","6,834","4,986","21,412","4,518","20,393"
,BiXIDA*,1,"1,529","10,629","7,607","39,702","8,888","69,700","8,991","77,845"
,BiXIDA*,2,460,"2,351","1,006","4,797","2,733","16,270","2,278","15,136"
,BiXIDA*,3,388,"6,958",852,"14,216","2,159","49,025","2,030","47,806"
,BiXIDA*,4,230,"2,789",469,"6,849","1,375","25,121","1,199","22,600"
8x8,XMM,-1,304,"1,188",755,"3,098","2,479","10,763","4,726","21,704"
,XMM,1,304,"1,176",755,"3,031","2,479","10,855","4,726","21,800"
,XMM,2,304,"1,220",755,"3,097","2,479","10,710","4,726","21,978"
,XMM,3,304,"1,226",755,"3,086","2,479","10,767","4,726","22,086"
,XMM,4,304,"1,197",755,"3,058","2,479","10,709","4,726","22,162"
,XA*,-1,325,"1,020",596,"1,995","2,192","7,812","3,073","12,866"
,XA*,1,325,989,596,"1,953","2,192","7,817","3,073","12,930"
,XA*,2,325,"1,019",596,"1,998","2,192","7,743","3,073","13,028"
,XA*,3,325,"1,031",596,"2,002","2,192","7,781","3,073","13,021"
,XA*,4,325,"1,013",596,"1,979","2,192","7,714","3,073","13,084"
,BiXA*,-1,307,"1,080",594,"2,202","1,797","7,995","3,105","15,675"
,BiXA*,1,787,"4,357","1,275","8,694","4,686","30,775","7,046","53,078"
,BiXA*,2,175,803,310,"1,880",937,"9,443","1,602","10,934"
,BiXA*,3,159,"2,488",289,"4,873",834,"35,930","1,466","34,808"
,BiXA*,4,93,"1,093",154,"2,179",534,"9,890",847,"17,276"
,XDFBnB,-1,483,"1,276",673,"2,299","3,031","9,958","4,878","17,404"
,XDFBnB,1,483,"1,324",673,"2,314","3,031","9,957","4,878","17,719"
,XDFBnB,2,399,"1,137",363,"1,909","1,667","8,466","2,667","16,420"
,XDFBnB,3,112,915,252,"1,990","1,086","8,969","2,327","20,480"
,XDFBnB,4,192,"1,109",197,"2,404",848,"10,362","1,592","24,942"
,BiXDFBnB,-1,361,"1,260",941,"2,928","2,146","8,519","6,149","23,329"
,BiXDFBnB,1,"1,097","5,799","2,119","10,837","6,766","39,300","22,831","114,090"
,BiXDFBnB,2,199,889,498,"2,083","1,131","6,506","3,340","16,529"
,BiXDFBnB,3,203,"2,710",352,"5,272",974,"18,590","2,826","49,261"
,BiXDFBnB,4,106,"1,104",197,"2,268",686,"9,769","1,696","21,886"
,XIDA*,-1,939,"5,116","1,632","6,440","5,264","20,637","7,364","32,527"
,XIDA*,1,939,"3,500","1,632","6,394","5,264","20,140","7,364","32,671"
,XIDA*,2,504,"2,798",854,"5,409","2,597","25,689","3,559","28,668"
,XIDA*,3,286,"2,731",594,"9,148","1,735","18,633","2,550","35,511"
,XIDA*,4,239,"3,170",460,"7,314","1,340","30,766","1,878","46,075"
,BiXIDA*,-1,856,"5,434","2,006","8,403","4,235","19,398","7,902","37,174"
,BiXIDA*,1,"1,833","12,636","3,826","28,475","10,406","77,254","15,886","136,443"
,BiXIDA*,2,434,"2,462","1,053","6,303","2,160","21,077","4,052","28,770"
,BiXIDA*,3,383,"7,224",905,"25,186","1,818","44,597","3,557","91,321"
,BiXIDA*,4,221,"3,137",516,"8,093","1,174","29,739","2,104","45,172"
8x9,XMM,-1,627,"2,755","1,917","9,414","5,799","28,405","21,219","118,650"
,XMM,1,627,"2,837","1,917","9,367","5,799","28,787","21,219","112,838"
,XMM,2,627,"2,830","1,917","9,486","5,799","28,330","21,219","127,575"
,XMM,3,627,"2,809","1,917","9,313","5,799","28,332","21,219","115,800"
,XMM,4,627,"2,830","1,917","9,278","5,799","28,792","21,219","113,341"
,XA*,-1,457,"1,687","1,641","6,749","4,566","18,773","15,001","70,684"
,XA*,1,457,"1,739","1,641","6,695","4,566","19,126","15,001","67,279"
,XA*,2,457,"1,724","1,641","6,792","4,566","18,904","15,001","76,510"
,XA*,3,457,"1,728","1,641","6,696","4,566","18,889","15,001","69,066"
,XA*,4,457,"1,765","1,641","6,672","4,566","19,224","15,001","67,604"
,BiXA*,-1,814,"2,886","1,819","8,774","4,857","19,288","13,267","66,179"
,BiXA*,1,"2,660","12,355","6,317","63,848","14,684","99,210","32,974","276,099"
,BiXA*,2,403,"2,115",931,"7,141","2,517","16,062","6,753","51,344"
,BiXA*,3,382,"6,475",995,"20,774","2,321","46,039","6,048","163,560"
,BiXA*,4,224,"3,768",522,"9,929","1,393","19,356","3,455","75,133"
,XDFBnB,-1,777,"2,594","1,993","8,176","7,143","27,806","20,091","85,972"
,XDFBnB,1,777,"2,611","1,993","7,964","7,143","27,799","20,091","87,170"
